school_name,school_address,latitude
Indian Hills High School,"97 Yawpo Ave Oakland, NJ 07436","(41.024637, -74.238425)"
Edison High School,"50 Boulevard Of The Eagles Edison, NJ 08817","(40.5144974, -74.3872208147334)"
Nanuet Senior High School,"103 Church St Nanuet, NY 10954","(41.089518, -74.004523)"
Malverne Senior High School,"80 Ocean Ave Malverne, NY 11565","(40.6688163344582, -73.6612285986388)"
Ossining High School,"29 S Highland Ave Ossining, NY 10562","(41.1608606407003, -73.8609876886032)"
Floral Park Memorial High School,"210 Locust St Floral Park, NY 11001","(40.7150484543987, -73.7049832627567)"
Frank Sinatra School of the Arts High School,"35-12 35th Ave, Queens, NY 11106","(40.75609495, -73.9251901033965)"
John F. Kennedy Memorial High School,"200 Washington Avenue, NJ 08830","(40.5721479, -74.3035360634309)"
Morris Knolls High School,"50 Knoll Drive Denville, NJ 07834","(40.8856232140272, -74.5097300920294)"
Rutherford High School,"56 Elliott Pl Rutherford, NJ 07070","(40.8289835, -74.1083313874126)"
Westwood Junior/Senior High School,"701 Ridgewood Road Township Of Washington, NJ 07676","(40.97971035, -74.0604460329584)"
Whippany Park High School,"165 Whippany Road Whippany, NJ 07981","(40.8163159679241, -74.4241015722032)"
Earl L. Vandermeulen High School,"350 Old Post Rd Port Jefferson, NY 11777","(40.949074, -73.036293)"
Aviation Career & Technical High School,"45-30 36th St, NY 11101","(40.74347465, -73.9294644272362)"
Hanover Park High School,"63 Mt Pleasant Avenue East Hanover, NJ 07936","(40.8056387436158, -74.372749521083)"
Lawrence Senior High School,"2 Reilly Rd Cedarhurst, NY 11516","(40.630143, -73.735473)"
Hasbrouck Heights High School,"365 Boulevard Hasbrouck Heights, NJ 07604","(40.8668927368421, -74.0732924210526)"
Passaic County Technical Institute,"45 Reinhardt Road Wayne, NJ 07470","(40.93085365, -74.2031662783737)"
Westlake High School,"825 Westlake, NY 10594","(41.1120716, -73.7669829547701)"
Point Pleasant Beach High School,"700 Trenton Avenue Point Pleasant Beach, NJ 08742","(40.089351, -74.051954)"
Yonkers High School,"150 Rockland Ave Yonkers, NY 10705","(40.9265439, -73.8857364583139)"
