school_name,school_address,latitude
Hillside High School,"1085 Liberty Ave Hillside, NJ 07205","(40.6911978, -74.2350105898952)"
Bronx Design & Construction Academy,"333 E 151st St Bronx, NY 10451","(40.81862835, -73.920291270937)"
High School for Excellence & Innovation,"650 Academy St New York, NY 10034","(40.8656163, -73.9248011)"
Arts & Media Preparatory Academy,"905 Winthrop St Brooklyn, NY 11203","(40.6586476, -73.9286574)"
James J. Ferris High School,"35 Colgate St Jersey City, NJ 07302","(40.72141025, -74.0531996013054)"
Queens Academy High School,"138-11 35th Ave Flushing, NY 11354","(40.7656186, -73.8282957477957)"
Bergen County Technical High School - Paramus,"E.285 Pascack Road Paramus, NJ 07652","(40.9607944, -74.0600174)"
"Mathematics, Science Research & Technology Magnet High School","207-01 116th Ave Cambria Heights, NY 11411","(40.6982731, -73.7440303)"
South Brooklyn Community High School,"173 Conover St Brooklyn, NY 11231","(40.6777929, -74.0142046727542)"
Jacqueline Kennedy-Onassis High School,"120 W 46th St New York, NY 10036","(40.75764675, -73.9833978304971)"
Bronx Collaborative High School,"100 W Mosholu Pkwy South Bronx, NY 10468","(40.8813165, -73.8873389847276)"
Brooklyn Bridge Academy,"6565 Flatlands Ave Brooklyn, NY 11236","(40.63368355, -73.917884645992)"
Memorial High School,"5501 Park Ave West New York, NJ 07093","(40.782847, -74.011924)"
John V. Lindsay Wildcat Academy Charter School,"17 Battery Pl New York, NY 10004","(40.7051424, -74.0160109)"
Mount Pleasant-Cottage School,"1075 Broadway Pleasantville, NY 10570","(41.133009, -73.776731)"
"School of Business, Technology, Marketing & Finance","61-127 Preakness Avenue Paterson, NJ 07502","(40.9145925, -74.1873923359887)"
University Academy Charter High School,"275 West Side Avenue Jersey City, NJ 07305","(40.7100213265306, -74.0946126326531)"
Bronx Academy Of Letters,"339 Morris Ave Bronx, NY 10451","(40.8136235, -73.9260636)"
"The Bronx School For Law, Government And Justice","244 E 163rd St Bronx, NY 10451","(40.8274856, -73.9190269586198)"
Academy of Medical Technology - A College Board School,"8-21 Bay 25th St, NY 11691","(40.6040064390244, -73.9978115853659)"
International Leadership Charter School,"3030 Riverdale Ave Bronx, NY 10463","(40.8808552727273, -73.9099196363636)"
Wings Academy,"1122 E 180th St Bronx, NY 10460","(40.8415106, -73.8749295)"
Academy for Health Careers,"150 Albany Ave Brooklyn, NY 11213","(40.67593365, -73.9393062118972)"
Lakewood High School,"855 Somerset Avenue Lakewood, NJ 08701","(40.10108, -74.19552)"
Eagle Academy for Young Men II,"1137 Herkimer St Brooklyn, NY 11233","(40.67823125, -73.9158350953074)"
Brooklyn High School For Law And Technology,"1396 Broadway Brooklyn, NY 11221","(40.6884868, -73.9208062244416)"
Roosevelt High School,"1 Wagner Ave Roosevelt, NY 11575","(40.685069, -73.580242)"
Capital Preparatory Harbor School,"777 Main Street Bridgeport, CT 06604","(41.1752351, -73.1883873)"
Women's Academy of Excellence,"456 White Plains Rd, NY 10473","(40.8149897, -73.856076093216)"
High School for Health Careers & Sciences,"549 Audubon Ave New York, NY 10040","(40.8555093, -73.9262634470974)"
Hero High School,"455 Southern Blvd Bronx, NY 10455","(40.8122526, -73.9031396)"
World Academy for Total Community Health,"400 Pennsylvania Ave Brooklyn, NY 11207","(40.6669096, -73.8951367397336)"
Opportunity Charter School,"240 W 113th St-4th Fl New York, NY 10026","(None, None)"
The Barack Obama Green Charter High School,"35 Watchung Ave Plainfield, NJ 07060","(40.620791989899, -74.4230858181818)"
High School of World Cultures,High School of World Cultures,"(40.8319625, -73.8783274)"
West Bronx Academy for the Future,"500 E Fordham Rd Bronx, NY 10458","(40.8598397, -73.8882951)"
University High School,"55 Clinton Pl Newark, NJ 07108","(40.7219245, -74.2104335)"
Victory Collegiate High School,"6565 Flatlands Ave Brooklyn, NY 11236","(40.63368355, -73.917884645992)"
Mott Haven Village Prep High School,"701 St Anns Ave Bronx, NY 10455","(40.8183204, -73.9111832)"
El Puente Academy for Peace & Justice,"250 Hooper St Brooklyn, NY 11211","(40.7056467, -73.9555406694127)"
Barringer Academy of S.T.E.A.M.,"90 Parker Street Newark, NJ 07104","(40.75559165, -74.1796215484458)"
Bronx School of Law & Finance,"99 Terrace View Ave, NY 10463","(40.877413, -73.9130612872972)"
Harlem Renaissance High School,"22 E 128th St New York, NY 10035","(40.80775495, -73.939940184534)"
Frederick Douglass Academy IV Secondary School,"125 Stuyvesant Ave Brooklyn, NY 11221","(40.69117415, -73.9334311748424)"
School for Democracy & Leadership,"600 Kingston Ave Brooklyn, NY 11203","(40.6583284, -73.9436184901004)"
Brooklyn Academy of Science & the Environment,"883 Classon Ave Brooklyn, NY 11225","(40.66994585, -73.9603397736624)"
Lyons Community School,"223 Graham Ave Brooklyn, NY 11206","(40.7098149, -73.943911)"
The Maxine Greene High School for Imaginative Inquiry,"122 Amsterdam Ave New York, NY 10023","(40.77489495, -73.9856423934918)"
Academy For Scholarship And Entrepreneurship,"921 E 228th St Bronx, NY 10466","(40.8882399, -73.8527657)"
Liberation Diploma Plus,"2865 W 19th St Brooklyn, NY 11224","(40.57715905, -73.9856362988432)"
Cobble Hill School of American Studies,"347 Baltic St Brooklyn, NY 11201","(40.6846795, -73.9910292)"
Frederick Douglas Academy VII High School,"226 Bristol St Brooklyn, NY 11212","(40.66552085, -73.9120865553018)"
Eagle Academy for Young Men of Newark,"279 Chancellor Avenue Newark, NJ 07112","(40.7076840219771, -74.2178529221987)"
Bronx Haven High School,"333 E 151st St Bronx, NY 10451","(40.81862835, -73.920291270937)"
High School for Media & Communications,"549 Audubon Ave New York, NY 10040","(40.8555093, -73.9262634470974)"
Academy for Urban Leadership Charter School,"612 Amboy Ave Perth Amboy, NJ 08861","(40.5212168571429, -74.2760945714286)"
W.H. Maxwell Career & Technical Education High School,"145 Pennsylvania Ave Brooklyn, NY 11207","(40.6737205, -73.8960273495309)"
Brooklyn School for Global Studies,"284 Baltic St Brooklyn, NY 11201","(40.68501145, -73.9932931849264)"
Arturo A. Schomburg Satellite Academy Bronx,"1010 Rev J A Polite Ave Bronx, NY 10459","(None, None)"
Frederick Douglas Academy III Secondary School,"3630 3rd Ave Bronx, NY 10456","(40.8337813, -73.904118)"
Schuylerville Preparatory High School,"3000 E Tremont Ave Bronx, NY 10461","(40.8399325, -73.8391578557417)"
"The Marie Curie School for Medicine, Nursing & Health Professions","120 W 231st St Bronx, NY 10463","(40.8756121, -73.9017235467755)"
School of Education & Training,"61-127 Preakness Avenue Paterson, NJ 07502","(40.9145925, -74.1873923359887)"
Acorn Community High School,"561 Grand Ave Brooklyn, NY 11238","(40.6784674615385, -73.9620100769231)"
Perth Amboy High School,"300 Eagle Ave Perth Amboy, NJ 08861","(40.5238609, -74.2698859162931)"
T.A. Edison Career Tech Academy,"625 Summer St Elizabeth, NJ 07202","(40.6503308387097, -74.2136608709677)"
August Martin High School,August Martin High School,"(40.6739422, -73.782680810862)"
Brooklyn Collegiate - A College Board School,"2021 Bergen St Brooklyn, NY 11233","(40.6744986, -73.9135211369785)"
Urban Assembly for the Performing Arts,"509 W 129th St New York, NY 10027","(40.8156522, -73.9558478)"
New Visions Charter High School for the Humanities III,"3000 Ave X,Brooklyn, NY 11235","(40.59351635, -73.9366741183486)"
Humanities & Arts Magnet High School,"207-01 116th Ave Cambria Heights, NY 11411","(40.6982731, -73.7440303)"
South Bronx Preparatory - A College Board School,"360 E 145th St Bronx, NY 10454","(40.8136604, -73.9202945)"
Henry Snyder High School,"239 Bergen Ave Jersey City, NJ 07305","(40.7105038, -74.0847252)"
High School for Innovation in Advertising & Media (iAM),"1600 Rockaway Pkwy Brooklyn, NY 11236","(40.6411019, -73.8981466)"
Bullard-Havens Technical High School,"500 Palisade Ave Bridgeport, CT 06610","(41.1956082, -73.1660873)"
North Queens Community High School,North Queens Community High School,"(40.72078405, -73.8191843277032)"
Academy for Environmental Leadership,"400 Irving Ave Brooklyn, NY 11237","(40.6970899, -73.9113818)"
Juan Morel Campos Secondary School,"215 Heyward St Brooklyn, NY 11206","(40.701946, -73.955724)"
Frederick Douglass Academy II Secondary School,"215 W 114th St New York, NY 10026","(40.802607, -73.9542941183614)"
EBC High School for Public Service,"1155 Dekalb Ave Brooklyn, NY 11221","(40.69470855, -73.9293033398049)"
Kurt Hahn Expeditionary Learning School,"5800 Tilden Ave Brooklyn, NY 11203","(40.6477763, -73.9215436)"
Brooklyn High School for Leadership & Community,"300 Willoughby Ave Brooklyn, NY 11205","(40.6925521, -73.9583387)"
School for Legal Studies,"850 Grand St Brooklyn, NY 11211","(40.7118943, -73.9391759)"
DeWitt Clinton High School,De Witt Clinton High School,"(40.1459412, -88.9778651121155)"
English Language Learners & International Support Preparatory Academy (ELLIS),"99 Terrace View Ave, NY 10463","(40.877413, -73.9130612872972)"
Bushwick Community High School,"231 Palmetto St Brooklyn, NY 11221","(40.69562085, -73.9154810668213)"
Charter High School for Law & Social Justice,"1960 University Ave Bronx, NY 10453","(40.8530147583153, -73.9126879023499)"
Bronx High School for the Visual Arts,"2040 Antin Pl Bronx, NY 10462","(None, None)"
Boys & Girls High School,"1700 Fulton St Brooklyn, NY 11213","(40.67889925, -73.9316637360393)"
Pathways College Prep School,"109-89 204th St Saint Albans, NY 11412","(40.70587835, -73.7528379117049)"
The Metropolitan High School,"1180 Rev J A Polite Ave Bronx, NY 10459","(None, None)"
Theatre Arts Production Company School,"2225 Webster Ave Bronx, NY 10457","(40.8544561, -73.897180394417)"
Inwood Academy for Leadership Charter School,"108 Coopers St New York, NY 10034","(None, None)"
Platt Technical High School,"600 Orange Ave Milford, CT 06461","(41.248027, -73.045017)"
The College Academy,"549 Audubon Ave New York, NY 10040","(40.8555093, -73.9262634470974)"
Community School for Social Justice,"350 Gerard Ave Bronx, NY 10451","(40.8155463, -73.9304408)"
Crotona International High School,"2474 Crotona Ave Bronx, NY 10458","(40.8552778, -73.8825)"
Urban Dove Team Charter School,"600 Lafayette Ave Brooklyn, NY 11216","(40.6898217, -73.9507812)"
Murry Bergtraum High School for Business Careers,"411 Pearl St New York, NY 10038","(40.7114702, -74.0011694)"
Claremont International High School,"240 E 172nd St Bronx, NY 10457","(40.83944, -73.9117451)"
Thurgood Marshall Academy for Learning & Social Change,"200-214 W 135th St New York, NY 10030","(40.815294, -73.943894)"
High School of Arts & Technology,"122 Amsterdam Ave New York, NY 10023","(40.77489495, -73.9856423934918)"
High School for Violin & Dance,"1100 Boston Rd Bronx, NY 10467","(40.863947, -73.864509)"
East Bronx Academy for the Future,"1716 Southern Blvd Bronx, NY 10460","(40.836821, -73.8876844886778)"
Spring Creek Community School,"1065 Elton St Brooklyn, NY 11208","(40.6582030408163, -73.8751834897959)"
Brooklyn Democracy Academy,"985 Rockaway Ave Brooklyn, NY 11212","(40.65576405, -73.9066876557033)"
Bronx Studio School for Writers & Artists,"928 Simpson St Bronx, NY 10459","(40.8203974, -73.8929807885775)"
Forsythe Satellite Academy,"198 Forsyth St New York, NY 10002","(40.7224227, -73.9906002)"
Mott Hall High School,"6 Edgecombe Ave New York, NY 10030","(40.8171503, -73.9474899)"
Nelson Mandela High School,"1700 Fulton St Brooklyn, NY 11213","(40.67889925, -73.9316637360393)"
North Bergen High School,North Bergen High School,"(40.80153465, -74.0143964723954)"
Asbury Park High School,"1001 Sunset Avenue Asbury Park, NJ 07712","(40.227831, -74.013207)"
Bronx Regional High School,"1010 Rev J A Polite Ave Bronx, NY 10459","(None, None)"
Rensaissance Charter High School for Innovation,"410 E 100th St New York, NY 10029","(40.785175, -73.9420183)"
Clara Barton High School,"901 Classon Ave Brooklyn, NY 11225","(40.6690504, -73.9617295256255)"
Esperanza Prepatory Academy,"240 E 109th St New York, NY 10029","(40.7922885, -73.9416018)"
Barringer High School,"90 Parker St Newark, NJ 07104","(40.75559165, -74.1796215484458)"
Olympus Academy,"755 E 100th St Brooklyn, NY 11236","(40.64579815, -73.898581973744)"
Urban Assembly Institute of Math & Science for Young Women,"283 Adams St Brooklyn, NY 11201","(40.69463915, -73.9883287933661)"
Brooklyn School for Music & Theater,"883 Classon Ave Brooklyn, NY 11225","(40.66994585, -73.9603397736624)"
Research & Service High School,"1700 Fulton St Brooklyn, NY 11213","(40.67889925, -73.9316637360393)"
Bronx Lab School,"800 E Gun Hill Rd Bronx, NY 10467","(40.8755487, -73.8614234)"
Palisade Preparatory School,"201 Palisade Ave Yonkers, NY 10701","(40.9412586, -73.8940305132522)"
High School of Contemporary Arts,"800 E Gun Hill Rd Bronx, NY 10467","(40.8755487, -73.8614234)"
Academy for College Prep & Career Exploration - A College Board School,"911 Flatbush Ave Brooklyn, NY 11226","(40.6495043, -73.9582574)"
The Urban Assembly School of Music & Art at Waters Edge,"49 Flatbush Ave, NY 11201","(40.6889411, -73.9810499)"
Great Futures Charter School,"225 Morris Blvd Jersey City, NJ 07302","(40.7146446, -74.0437455)"
Urban Assembly School of Business for Young Women,"26 Broadway New York, NY 10004","(40.7053128, -74.0129107229046)"
Weequahic High School,"279 Chancellor Ave Newark, NJ 07112","(40.7076840219771, -74.2178529221987)"
Cultural Academy for the Arts & Sciences,"5800 Tilden Ave Brooklyn, NY 11203","(40.6477763, -73.9215436)"
Lincoln High School,"60 Crescent Ave Jersey City, NJ 07304","(40.716689, -74.0708290833333)"
Newark Prep Charter School,"570 Broad St Newark, NJ 07102","(40.7420259, -74.1685713467834)"
New Dawn Charter High School,"242 Hoyt St Brooklyn, NY 11217","(40.68299575, -73.9904960619324)"
Passaic High School # 12,"170 Paulison Ave Passaic, NJ 07055","(40.856045910391, -74.1276143111369)"
Bronx Leadership Academy High School,"1710 Webster Ave Bronx, NY 10457","(40.8433249, -73.9028966)"
Plainfield High School,"950 Park Avenue Plainfield, NJ 07060","(40.61152475, -74.4127387053334)"
Brownsville Academy High School,"1150 E New York Ave Brooklyn, NY 11212","(40.666194, -73.9239754)"
School of Government & Public Administration at Eastside High School,"150 Park Avenue Paterson, NJ 07501","(40.9151207457083, -74.160060732755)"
Adm. W.F. Halsey Leadership Academy,"641 South Street Elizabeth, NJ 07202","(40.6581036246967, -74.2136728413782)"
Abraham Clark High School,"122 East 6th Ave Roselle, NJ 07203","(40.6533994, -74.2616785023702)"
Hempstead High School,Hempstead High School,"(40.696681, -73.632174)"
Equality Charter School,"4140 Hutchinson River Pkwy East Bronx, NY 10475","(40.8643916, -73.8242406)"
The School for Human Rights,"600 Kingston Ave Brooklyn, NY 11203","(40.6583284, -73.9436184901004)"
Malcolm X Shabazz High School,"80 Johnson Ave Newark, NJ 07108","(40.719458125, -74.19174895)"
School of Information Technology,"150 Park Avenue Paterson, NJ 07501","(40.9151207457083, -74.160060732755)"
Irvington High School,"1253 Clinton Ave Irvington, NJ 07111","(40.728398, -74.2328168636364)"
Harding High School,"1734 Central Ave Bridgeport, CT 06610","(41.174028, -73.1655011)"
Marion P. Thomas Charter School,"125 Sussex Ave Newark, NJ 07103","(40.7466973148148, -74.1807032222222)"
East Orange Campus High School,"344 Prospect Street East Orange, NJ 07017","(40.7768657647059, -74.2074969411765)"
Dr. Susan S. McKinney Secondary School of the Arts,"101 Park Ave Brooklyn, NY 11205","(40.69698295, -73.9760812745642)"
Teachers Preparatory High School,"226 Bristol St Brooklyn, NY 11212","(40.66552085, -73.9120865553018)"
Eagle Academy for Young Men III,"171-10 Linden Blvd Jamaica, NY 11434","(40.6828062, -73.806204)"
Bassick High School,"1181 Fairfield Ave Bridgeport, CT 06605","(41.1738914759386, -73.2068725887229)"
Excellence Girls Charter School,"794 Monroe St, NY 11221","(40.68811325, -73.9243748938415)"
Brentwood Freshman Center,"33 Leahy Ave Brentwood, NY 11717","(40.7855599, -73.2672473236914)"
Leadership Prep Bedford Stuyvesant Charter School,"141 Macon St, NY 11216","(40.68191795, -73.945596695504)"
Leadership Prep Ocean Hill Charter School,"51 Christopher Ave Brooklyn, NY 11212","(40.67234655, -73.9060522444189)"
Eastern Suffolk BOCES,"201 Sunrise Hwy Patchogue, NY 11772","(40.78133525, -72.9961015232999)"
Nassau Boces,"71 Clinton Rd Garden City, NY 11530","(40.7285899, -73.6182439)"
Slocum Skewes School,"650 Prospect Ave Ridgefield, NJ 07657","(40.8358918, -74.0037970666667)"
Jose Marti Freshman Academy,"1800 Summit Ave Union City, NJ 07087","(40.7660354, -74.0377989270323)"
The Academy of Information Technology,"411 High Ridge Road Stamford, CT 06905","(41.08483935, -73.5461206818876)"
Massapequa High School - Ames Campus,"198 Baltimore Ave Massapequa, NY 11758","(40.686215, -73.464264)"
Rockland Boces,"Rockland Boces, NY 10994","(41.0957939, -73.9230499104468)"
